zpid,city,state,homeStatus,streetAddress,zipcode,bedrooms,bathrooms,price,longitude,latitude,homeType,lotSize,zestimate,rentZestimate,dateSoldString,taxAssessedValue,taxAssessedYear,parcelId
5568428,Cherry Valley,IL,OTHER,130 S Lawrence St,61016,3.0,2.0,170800,-88.94729,42.233566,SINGLE_FAMILY,9665.0,170800.0,1962,2019-03-11,24004.0,2022.0,1601258007
31753325,Fayetteville,NY,OTHER,7295 Woodchuck Hill Rd,13066,4.0,2.5,482900,-76.01839,43.014793,SINGLE_FAMILY,20908.0,482900.0,3993,2000-10-19,387600.0,2023.0,31388910101620
112342102,Prescott Valley,AZ,OTHER,4083 N Fairfax Rd,86314,3.0,2.0,514800,-112.35088,34.601753,SINGLE_FAMILY,10018.0,514800.0,2250,2021-01-29,64799.0,2024.0,10357706
6308433,Charlotte,NC,OTHER,14202 Misty Brook Ln,28273,4.0,2.0,418600,-80.96899,35.096905,SINGLE_FAMILY,41404.0,418600.0,2099,2020-08-27,345800.0,2023.0,21922225
120261418,Bardstown,KY,OTHER,136 Beechfork Trl,40004,3.0,3.0,442100,-85.49624,37.79858,SINGLE_FAMILY,44866.0,442100.0,2819,2019-04-17,292000.0,2020.0,45SW001057
18594554,El Dorado Hills,CA,OTHER,3163 Fairchild Dr,95762,5.0,3.0,903800,-121.07541,38.699642,SINGLE_FAMILY,9583.0,903800.0,3669,1994-06-10,434175.0,2023.0,125675037000
19732766,San Jose,CA,OTHER,4184 Santa Susana Way,95111,4.0,2.0,1071100,-121.8241,37.280834,SINGLE_FAMILY,5000.0,1071100.0,3999,1998-07-24,696673.0,2023.0,49409036
16249845,Visalia,CA,OTHER,4323 W Victor Ave,93277,4.0,2.0,310600,-119.338745,36.300934,SINGLE_FAMILY,8886.0,310600.0,1837,2000-01-19,110800.0,2023.0,119192008000
306589376,Seneca,SC,OTHER,141 Waterfall Rd,29672,5.0,7.0,2449000,-82.927605,34.799206,SINGLE_FAMILY,40075.0,2449000.0,14127,2017-01-09,,2023.0,1360003098
243476314,Winchester,CA,OTHER,35586 Athena Ct,92596,4.0,3.0,735600,-117.088554,33.60406,SINGLE_FAMILY,9148.0,735600.0,3499,2019-11-08,509819.0,2023.0,476430001
